judgeName,timeTaken,chosen,notChosen,createdAt
1,6777,UY5CXG,29YWN2,03/03/2023 10:24
1,1304,WWDA2R,XZGJB5,03/03/2023 10:24
1,1065,3E7MMG,RENHGT,03/03/2023 10:24
1,1320,WWDA2R,RENHGT,03/03/2023 10:24
1,879,GX2ECA,XZGJB5,03/03/2023 10:24
1,752,3E7MMG,XZGJB5,03/03/2023 10:24
1,989,2G97EP,RENHGT,03/03/2023 10:24
1,1057,UY5CXG,WWDA2R,03/03/2023 10:24
2,29724,UY5CXG,RENHGT,03/03/2023 10:24
2,3734,3E7MMG,XZGJB5,03/03/2023 10:24
2,2593,WWDA2R,GX2ECA,03/03/2023 10:24
2,8237,29YWN2,GX2ECA,03/03/2023 10:25
2,2057,WWDA2R,3E7MMG,03/03/2023 10:25
2,1790,RENHGT,XZGJB5,03/03/2023 10:25
2,1550,UY5CXG,29YWN2,03/03/2023 10:25
2,1143,RENHGT,GX2ECA,03/03/2023 10:25
3,12925,UY5CXG,2G97EP,03/03/2023 10:25
3,2478,29YWN2,3E7MMG,03/03/2023 10:25
3,2978,UY5CXG,WWDA2R,03/03/2023 10:25
3,1970,UY5CXG,GX2ECA,03/03/2023 10:25
3,2973,2G97EP,RENHGT,03/03/2023 10:25
3,3375,UY5CXG,3E7MMG,03/03/2023 10:25
3,1528,WWDA2R,29YWN2,03/03/2023 10:25
3,2163,UY5CXG,XZGJB5,03/03/2023 10:25
4,6983,2G97EP,RENHGT,03/03/2023 10:24
4,1073,2G97EP,XZGJB5,03/03/2023 10:24
4,1150,2G97EP,3E7MMG,03/03/2023 10:24
4,3330,GX2ECA,XZGJB5,03/03/2023 10:24
4,1806,29YWN2,RENHGT,03/03/2023 10:24
4,1129,WWDA2R,29YWN2,03/03/2023 10:24
4,1081,UY5CXG,WWDA2R,03/03/2023 10:24
4,973,2G97EP,XZGJB5,03/03/2023 10:24
5,5238,UY5CXG,RENHGT,03/03/2023 10:24
5,2568,29YWN2,3E7MMG,03/03/2023 10:24
5,1157,2G97EP,XZGJB5,03/03/2023 10:24
5,1091,WWDA2R,GX2ECA,03/03/2023 10:24
5,1936,3E7MMG,GX2ECA,03/03/2023 10:24
5,1352,29YWN2,XZGJB5,03/03/2023 10:24
5,1118,UY5CXG,29YWN2,03/03/2023 10:25
5,1179,UY5CXG,GX2ECA,03/03/2023 10:25
5,15454,UY5CXG,29YWN2,03/03/2023 10:24
5,4147,2G97EP,3E7MMG,03/03/2023 10:24
5,1442,2G97EP,GX2ECA,03/03/2023 10:24
6,13819,UY5CXG,GX2ECA,03/03/2023 10:24
6,1816,2G97EP,29YWN2,03/03/2023 10:24
6,1401,RENHGT,GX2ECA,03/03/2023 10:24
6,1174,WWDA2R,GX2ECA,03/03/2023 10:24
6,1698,29YWN2,XZGJB5,03/03/2023 10:24
6,1362,2G97EP,WWDA2R,03/03/2023 10:24
6,1162,UY5CXG,RENHGT,03/03/2023 10:24
6,1412,29YWN2,GX2ECA,03/03/2023 10:24
7,4219,WWDA2R,3E7MMG,03/03/2023 10:25
7,3904,2G97EP,XZGJB5,03/03/2023 10:25
7,2603,UY5CXG,3E7MMG,03/03/2023 10:25
7,5056,WWDA2R,XZGJB5,03/03/2023 10:25
7,2893,WWDA2R,GX2ECA,03/03/2023 10:25
7,2606,29YWN2,RENHGT,03/03/2023 10:25
7,4329,WWDA2R,GX2ECA,03/03/2023 10:25
7,2580,2G97EP,RENHGT,03/03/2023 10:25
7,5141,UY5CXG,2G97EP,03/03/2023 10:24
7,5633,WWDA2R,RENHGT,03/03/2023 10:24
7,3012,3E7MMG,GX2ECA,03/03/2023 10:24
7,2241,UY5CXG,XZGJB5,03/03/2023 10:24
7,1923,2G97EP,3E7MMG,03/03/2023 10:24
7,2475,3E7MMG,GX2ECA,03/03/2023 10:24
7,2070,WWDA2R,29YWN2,03/03/2023 10:24
7,3649,UY5CXG,2G97EP,03/03/2023 10:24
8,8230,RENHGT,GX2ECA,03/03/2023 10:24
8,1732,2G97EP,3E7MMG,03/03/2023 10:24
8,1864,29YWN2,GX2ECA,03/03/2023 10:25
8,2764,UY5CXG,2G97EP,03/03/2023 10:25
8,1480,2G97EP,XZGJB5,03/03/2023 10:25
8,846,UY5CXG,XZGJB5,03/03/2023 10:25
8,897,UY5CXG,3E7MMG,03/03/2023 10:25
8,1384,WWDA2R,3E7MMG,03/03/2023 10:25
9,14746,29YWN2,RENHGT,03/03/2023 10:25
9,3059,2G97EP,XZGJB5,03/03/2023 10:25
9,2170,3E7MMG,XZGJB5,03/03/2023 10:25
9,1482,UY5CXG,RENHGT,03/03/2023 10:25
9,2084,29YWN2,RENHGT,03/03/2023 10:25
9,1714,GX2ECA,XZGJB5,03/03/2023 10:25
9,2044,29YWN2,XZGJB5,03/03/2023 10:25
9,2289,WWDA2R,3E7MMG,03/03/2023 10:25
