C1_total,C2_total,C3_total,total,grade,sex,C1_1ai,C1_1aii,C1_1bi,C1_1bii,C1_1biii,C1_1biv,C1_1ci,C1_1cii,C1_1di,C1_1dii,C1_1e,C1_1eSPaG,C1_2ai,C1_2aii,C1_2bi,C1_2bii,C1_2biii,C1_2biv,C1_2bv,C1_2c,C1_2d,C1_3ai,C1_3aii,C1_3aiii,C1_3bi,C1_3bii,C1_3ci,C1_3cii,C1_3d,C2_Aa,C2_Ab,C2_Ac,C2_Adi,C2_Adii,C2_Aei,C2_Aeii,C2_Aeiii,C2_Aeiv,C2_Af,C2_Ag,C2_Bai,C2_Baii,C2_Bb,C2_Bc,C2_Bd,C2_Be,C2_Bf,C2_C,C2_CSPaG,C3_1ai,C3_1aii,C3_1bi,C3_1bii,C3_1biii,C3_1c,C3_2ai,C3_2aii,C3_2b,C3_2ci,C3_2cii,C3_2ciii,C3_2d,C3_3ai,C3_3aii,C3_3aiii,C3_3b,C3_3ci,C3_3cii,C3_3di,C3_3dii,C3_3e,C3_3f,C3_3fSPaG
37,27,25,89,2,M,1,3,1,0,0,0,0,1,0,2,2,2,4,4,1,2,2,0,0,0,2,1,1,1,1,1,2,2,1,3,1,2,1,2,1,1,0,0,2,1,1,0,1,0,1,2,1,5,2,0,1,1,1,,0,2,1,2,0,1,1,0,2,2,1,0,2,2,0,2,0,2,2
52,44,37,133,4,M,1,3,1,0,1,0,2,3,1,2,4,2,2,4,1,1,2,2,1,0,5,3,0,0,1,0,2,2,6,1,1,4,4,1,1,2,2,0,1,4,1,0,2,2,3,0,2,9,4,0,2,2,1,0,0,1,0,2,1,1,3,,3,2,2,1,2,1,0,2,2,6,3
61,46,41,148,5,M,1,2,1,1,2,0,,3,2,2,3,2,4,4,,1,3,2,1,4,5,4,2,,1,2,3,2,4,3,3,4,4,1,1,3,2,0,2,3,1,1,2,1,5,2,2,4,2,1,1,2,1,0,1,2,2,2,1,1,3,1,3,2,2,1,2,2,0,0,0,7,4
50,40,39,129,4,M,1,3,1,1,1,1,1,2,0,2,3,2,2,3,1,,2,2,2,5,2,4,1,1,1,0,2,1,3,2,2,3,4,2,1,1,0,2,1,3,1,0,2,1,2,4,0,6,3,0,2,2,2,1,0,2,0,2,1,1,2,3,2,1,4,1,2,1,0,3,1,3,3
66,49,51,166,7,M,1,3,1,1,1,1,2,1,1,2,4,3,4,4,1,2,3,2,2,4,5,4,1,2,1,2,1,3,4,3,2,4,4,2,1,2,2,0,2,4,1,2,1,2,2,4,2,5,4,2,2,2,2,2,2,2,1,2,1,1,2,4,3,2,4,1,2,2,0,2,1,6,3
36,17,29,82,2,M,1,3,1,1,1,0,0,2,2,0,2,2,0,1,1,0,2,0,0,0,5,2,1,2,1,1,1,0,4,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,2,0,1,5,2,0,1,0,0,0,1,1,1,0,1,1,2,1,2,2,2,1,2,2,0,0,1,5,3
73,50,52,175,7,F,1,3,1,1,1,0,0,5,1,2,6,3,4,4,1,2,3,2,0,4,4,4,1,3,1,3,3,5,5,1,2,4,4,2,1,3,2,0,3,4,1,1,2,1,3,2,1,9,4,1,2,2,1,2,0,2,2,2,1,1,2,3,3,2,4,1,2,2,0,4,2,7,4
67,54,43,164,6,M,1,3,1,1,2,0,1,4,2,1,5,3,4,4,0,0,3,2,0,4,5,4,2,2,1,2,3,3,4,3,2,4,3,1,1,3,3,2,1,1,1,1,4,1,4,2,1,12,4,0,2,2,2,1,0,1,1,2,0,1,1,2,3,2,4,1,2,2,1,2,1,7,3
57,56,41,154,6,M,1,2,1,0,1,0,1,4,3,1,3,3,4,3,1,1,3,2,0,0,3,3,1,2,1,4,1,4,4,4,4,4,4,1,1,2,0,2,2,5,1,1,2,1,3,4,1,10,4,0,2,2,0,2,0,2,1,1,1,1,2,2,2,2,4,1,2,2,0,0,1,8,3
38,25,28,91,2,F,1,3,1,1,2,,1,1,1,2,5,2,4,2,1,,3,2,0,,,1,,1,1,2,1,,0,1,1,3,4,2,1,1,0,1,0,5,0,0,1,2,3,,,0,0,,2,2,1,,2,2,1,2,1,1,1,,3,2,1,0,2,2,,0,0,1,2
58,50,44,152,6,F,1,2,1,1,1,0,1,5,3,1,4,3,4,4,1,2,2,0,0,3,3,3,2,1,1,1,3,2,3,1,3,3,4,3,1,3,1,0,1,4,1,1,3,2,3,3,1,9,3,0,2,2,0,1,3,0,2,2,1,1,1,2,3,2,3,1,1,1,0,4,2,7,3
58,50,41,149,5,M,1,3,1,1,2,1,1,3,2,2,3,3,4,4,,0,2,0,1,3,3,3,0,2,1,2,3,3,4,2,3,4,4,2,0,2,1,0,2,4,1,1,2,2,3,4,0,10,3,1,,2,1,2,1,0,1,2,1,1,2,2,3,2,3,1,2,2,0,0,1,7,4
43,42,42,127,4,M,0,3,1,1,1,1,0,2,2,2,2,2,2,2,,0,2,0,0,1,2,3,1,3,1,3,1,2,3,1,2,2,3,2,1,2,2,1,2,2,1,0,0,0,4,2,1,10,4,0,2,2,2,2,3,2,0,1,1,1,3,2,2,2,3,1,2,1,0,2,1,4,3
60,53,41,154,6,M,1,2,1,1,2,1,,4,2,2,6,3,2,4,1,2,3,0,0,2,6,2,0,1,1,2,2,3,4,5,3,4,3,2,1,3,1,2,2,5,1,1,2,1,3,2,3,6,3,0,2,2,0,1,3,2,2,2,0,1,2,0,3,2,3,1,2,2,0,3,1,4,3
72,53,47,172,7,F,1,3,1,1,2,1,0,2,2,2,5,3,4,3,1,2,3,2,2,6,6,3,2,2,1,2,2,4,4,2,1,4,4,3,1,1,2,1,1,3,1,1,2,2,4,4,1,11,4,1,2,2,0,2,3,1,2,2,1,1,3,3,1,2,3,1,2,2,0,3,1,6,3
76,58,56,190,8,F,1,3,1,1,2,1,0,2,2,2,7,4,4,3,1,2,3,2,2,4,,4,2,4,1,3,3,4,8,5,2,4,3,1,1,3,2,1,3,4,1,1,4,1,4,4,1,9,4,2,2,2,1,3,4,1,2,2,1,1,1,4,3,2,3,1,2,2,0,0,3,11,3
55,39,37,131,4,M,1,2,1,1,0,0,2,3,2,2,3,2,2,2,,1,3,,,4,4,3,1,3,1,2,3,3,4,3,1,3,1,2,1,0,1,0,1,3,1,1,2,1,3,1,1,10,3,0,2,2,1,1,2,2,0,2,1,1,1,1,3,2,3,1,,1,0,2,1,6,2
