id,gender,dob,yg,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,missing,Q1_score,Q2_score,Q3_score,Q4_score,Q5_score,Q6_score,Q7_score,Q8_score,Q9_score,Q10_score,Q11_score,Q12_score,Q13_score,Q14_score,Q15_score,Q16_score,Q17_score,Q18_score,Q19_score,Q20_score
1e_VKx9HYiKpktIDJneUf,F,2013-03-08,5,C,A,C,B,D,B,D,E,D,B,E,B,A,D,A,A,D,A,B,A,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
6gS8FKhKxSpWIIOCGJrve,F,2013-06-11,5,C,A,D,B,D,A,C,C,D,A,D,A,B,B,E,NA,C,E,B,D,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0
8bEEsMP0jDgJlLJ_9931w,M,2013-03-01,5,C,A,D,B,D,A,D,E,E,D,A,C,E,D,B,A,C,A,C,E,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
CRrQzNAvvECfeqnvrDSHI,M,2013-08-02,5,C,A,D,B,D,B,B,E,A,D,A,B,A,B,D,A,C,A,B,A,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
CYxqG2ZfBDHGQJZi_qefJ,F,2013-02-27,5,C,A,C,B,D,E,D,A,E,B,A,B,E,B,A,A,B,C,C,A,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
GnoidKCTS7KPJF_iVpidE,M,2013-02-24,5,C,A,NA,B,D,B,A,E,A,C,D,C,D,A,D,E,B,A,C,E,1,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NDbdxtl5f9So1gCV8fS8d,M,2012-09-17,5,C,A,D,B,D,E,NA,C,C,D,A,D,A,B,A,B,B,A,B,E,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,0,1,0,0
OvWQlX05_Nc5cAdwIvy_a,F,2013-04-05,5,C,A,D,B,D,E,C,E,C,D,A,B,A,B,D,D,A,C,B,A,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1
RUH65dZuHyIGFySI3topu,F,2013-01-17,5,C,A,C,B,D,B,D,E,E,B,A,B,E,D,A,E,A,C,B,E,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TpnVxz0sjkWPFwQ60jd8a,F,2012-11-01,5,C,D,A,B,A,D,D,E,A,A,E,B,A,E,A,A,B,A,E,A,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
