id,gender,dob,yg,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,missing,Q1_score,Q2_score,Q3_score,Q4_score,Q5_score,Q6_score,Q7_score,Q8_score,Q9_score,Q10_score,Q11_score,Q12_score,Q13_score,Q14_score,Q15_score,Q16_score,Q17_score,Q18_score,Q19_score,Q20_score
-4b54TzRPz-sChdBtAI_p,F,2011-05-12,7,C,A,D,B,D,B,A,E,C,D,E,B,A,D,A,D,B,A,C,E,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
-Ll0fjY97v3PPXy346hex,M,2010-11-17,7,C,A,C,B,D,A,D,E,C,D,A,D,A,B,B,A,A,A,B,A,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1
0M0GBZ9Ddsm8ej6qQK1os,F,2010-09-11,7,C,A,C,B,D,B,D,E,E,D,A,B,E,B,D,E,A,A,B,E,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
0MytNwQ4p3G4a8no-2QlW,M,2011-01-20,7,C,A,D,B,D,B,D,E,E,B,A,C,A,B,B,A,A,C,C,A,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1
0dB022RRYB43OJ71H6bIv,M,2011-03-12,7,C,A,B,E,B,D,D,E,A,C,A,B,A,E,D,A,D,B,A,E,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0gYDxLg9_dWMH6GjOxMU-,F,2011-07-08,7,C,A,D,B,D,B,A,E,C,D,A,D,A,B,D,A,A,A,C,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,NA
1oAw29WrjkRrb9PaNoTS7,M,2010-12-14,7,C,A,B,B,D,B,E,E,D,C,B,A,C,C,D,E,D,C,B,A,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1xYX6xf0mNbGYZlCF-d89,M,2011-04-20,7,C,A,D,B,D,B,D,C,B,D,A,D,A,B,D,B,A,A,D,A,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
2vHaF481AWTY-czKPo3JG,F,2010-09-28,7,C,A,D,B,D,B,A,E,C,D,A,B,A,B,A,D,A,A,B,A,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1
38XpF4CQuUPduC6sYJuDv,M,2011-07-17,7,C,A,D,B,D,B,D,E,E,D,A,B,E,B,D,A,D,A,C,E,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
